,Unnamed: 0,Order Date,Brand,Sneaker Name,Release Date,Shoe Size,Buyer Region,Turnover Days,Profit,Profit Ratio,Model,Black,White,Grey,Red,Green,Neo,Orange,Tan/Brown,Pink,Blue,Colorful,Turnover Weeks,color
23891,25612,2018-05-11,Off-White,nike-air-force-1-low-off-white,2017-11-01,9.0,New York,191,850.0,5.0,air-force-1,,1.0,,,,,,,,,,27.0,White
23892,25613,2018-05-11,Off-White,nike-air-max-90-off-white,2017-09-09,11.5,New York,244,839.0,5.24,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,35.0,White
23931,25667,2018-05-12,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.0,Oregon,70,1690.0,8.89,air-jordan-1-retro-high,,1.0,,,,,,,,,,10.0,White
23932,25668,2018-05-12,Off-White,nike-air-force-1-low-off-white,2017-11-01,7.5,California,192,1075.0,6.32,air-force-1,,1.0,,,,,,,,,,27.0,White
23933,25669,2018-05-12,Off-White,nike-air-max-90-off-white,2017-09-09,9.5,Pennsylvania,245,805.0,5.03,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,35.0,White
23934,25670,2018-05-12,Off-White,nike-air-max-90-off-white,2017-09-09,8.0,New York,245,719.0,4.49,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,35.0,White
23935,25671,2018-05-12,Off-White,nike-air-presto-off-white,2017-09-09,10.0,Massachusetts,245,1635.0,10.22,air-presto,1.0,1.0,,,,,,,,,,35.0,Black
23969,25718,2018-05-13,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,8.0,Arizona,246,2710.0,14.26,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,35.0,White
23987,25736,2018-05-13,Off-White,nike-blazer-mid-off-white,2017-09-09,8.5,Oregon,246,820.0,6.31,blazer-mid,,1.0,,,,,,,,,,35.0,White
24025,25796,2018-05-14,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.0,Washington,247,2170.0,11.42,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,35.0,White
24030,25801,2018-05-14,Off-White,nike-air-presto-off-white,2017-09-09,10.0,New York,247,1640.0,10.25,air-presto,1.0,1.0,,,,,,,,,,35.0,Black
24055,25826,2018-05-14,Off-White,nike-blazer-mid-off-white,2017-09-09,8.5,Florida,247,865.0,6.65,blazer-mid,,1.0,,,,,,,,,,35.0,White
24083,25869,2018-05-15,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,Oregon,73,1710.0,9.0,air-jordan-1-retro-high,,1.0,,,,,,,,,,10.0,White
24084,25870,2018-05-15,Off-White,nike-air-force-1-low-off-white,2017-11-01,10.0,Nevada,195,755.0,4.44,air-force-1,,1.0,,,,,,,,,,28.0,White
24086,25872,2018-05-15,Off-White,nike-air-presto-off-white,2017-09-09,9.0,California,248,1685.0,10.53,air-presto,1.0,1.0,,,,,,,,,,35.0,Black
24087,25873,2018-05-15,Off-White,nike-air-presto-off-white,2017-09-09,10.0,California,248,1635.0,10.22,air-presto,1.0,1.0,,,,,,,,,,35.0,Black
24132,25934,2018-05-16,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,14.0,New York,249,1566.0,8.24,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24133,25936,2018-05-16,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,16.0,Louisiana,74,1610.0,8.47,air-jordan-1-retro-high,,1.0,,,,,,,,,,11.0,White
24172,25989,2018-05-17,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.5,Georgia,250,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24173,25990,2018-05-17,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,Arizona,75,1710.0,9.0,air-jordan-1-retro-high,,1.0,,,,,,,,,,11.0,White
24174,25991,2018-05-17,Off-White,nike-air-max-90-off-white,2017-09-09,8.5,California,250,730.0,4.56,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,36.0,White
24176,25993,2018-05-17,Off-White,nike-air-presto-off-white,2017-09-09,10.0,Arizona,250,1689.0,10.56,air-presto,1.0,1.0,,,,,,,,,,36.0,Black
24212,26049,2018-05-18,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,Wisconsin,251,2620.0,13.79,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24213,26050,2018-05-18,Off-White,nike-air-max-90-off-white,2017-09-09,12.0,Texas,251,734.0,4.59,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,36.0,White
24223,26060,2018-05-18,Off-White,nike-blazer-mid-off-white,2017-09-09,9.5,California,251,858.0,6.6,blazer-mid,,1.0,,,,,,,,,,36.0,White
24243,26098,2018-05-19,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,California,77,1710.0,9.0,air-jordan-1-retro-high,,1.0,,,,,,,,,,11.0,White
24244,26099,2018-05-19,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,12.0,California,77,1610.0,8.47,air-jordan-1-retro-high,,1.0,,,,,,,,,,11.0,White
24285,26148,2018-05-20,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.0,Illinois,253,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24286,26149,2018-05-20,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,Texas,253,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24287,26151,2018-05-20,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,13.0,Nevada,78,1380.0,7.26,air-jordan-1-retro-high,,1.0,,,,,,,,,,11.0,White
24330,26210,2018-05-21,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.0,Massachusetts,254,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24332,26213,2018-05-21,Off-White,nike-air-force-1-low-off-white,2017-11-01,8.0,Oregon,201,941.0,5.54,air-force-1,,1.0,,,,,,,,,,29.0,White
24333,26214,2018-05-21,Off-White,nike-air-max-90-off-white,2017-09-09,9.0,Texas,254,780.0,4.88,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,36.0,White
24335,26216,2018-05-21,Off-White,nike-air-presto-off-white,2017-09-09,13.0,New Jersey,254,1115.0,6.97,air-presto,1.0,1.0,,,,,,,,,,36.0,Black
24382,26275,2018-05-22,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,California,255,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,36.0,White
24383,26278,2018-05-22,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,8.0,Oregon,80,1783.0,9.38,air-jordan-1-retro-high,,1.0,,,,,,,,,,11.0,White
24384,26279,2018-05-22,Off-White,nike-air-force-1-low-virgil-abloh-off-white-af100,2017-11-04,7.0,New York,199,1000.0,6.67,air-force-1,,1.0,,,,,,,,,,28.0,White
24399,26294,2018-05-22,Off-White,nike-blazer-mid-off-white,2017-09-09,10.0,Illinois,255,768.0,5.91,blazer-mid,,1.0,,,,,,,,,,36.0,White
24433,26340,2018-05-23,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,California,256,2110.0,11.11,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,37.0,White
24434,26384,2018-05-23,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,11.0,Virginia,81,1602.0,8.43,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24436,26386,2018-05-23,Off-White,nike-air-force-1-low-off-white,2017-11-01,9.0,California,203,922.0,5.42,air-force-1,,1.0,,,,,,,,,,29.0,White
24516,26516,2018-05-24,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,New York,257,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,37.0,White
24517,26600,2018-05-24,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,Michigan,82,1735.0,9.13,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24518,26601,2018-05-24,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,10.0,California,82,1650.0,8.68,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24519,26602,2018-05-24,Off-White,nike-air-max-90-off-white,2017-09-09,12.0,Florida,257,770.0,4.81,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,37.0,White
24521,26604,2018-05-24,Off-White,nike-air-presto-off-white,2017-09-09,11.0,California,257,1439.0,8.99,air-presto,1.0,1.0,,,,,,,,,,37.0,Black
24583,26699,2018-05-25,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,New York,258,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,37.0,White
24584,26802,2018-05-25,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,Florida,83,1760.0,9.26,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24588,26806,2018-05-25,Off-White,nike-air-max-90-off-white,2017-09-09,9.0,Florida,258,730.0,4.56,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,37.0,White
24590,26808,2018-05-25,Off-White,nike-air-presto-off-white,2017-09-09,12.0,California,258,1190.0,7.44,air-presto,1.0,1.0,,,,,,,,,,37.0,Black
24631,26870,2018-05-26,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,6.0,Wisconsin,259,3860.0,20.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,37.0,White
24632,26999,2018-05-26,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,Oregon,84,1808.0,9.52,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24663,27125,2018-05-27,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,11.0,California,85,1620.0,8.53,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24665,27127,2018-05-27,Off-White,nike-air-force-1-low-off-white,2017-11-01,8.5,New Hampshire,207,980.0,5.76,air-force-1,,1.0,,,,,,,,,,30.0,White
24666,27128,2018-05-27,Off-White,nike-air-presto-off-white,2017-09-09,7.0,Florida,260,1280.0,8.0,air-presto,1.0,1.0,,,,,,,,,,37.0,Black
24676,27138,2018-05-27,Off-White,nike-blazer-mid-off-white,2017-09-09,10.0,Alabama,260,760.0,5.85,blazer-mid,,1.0,,,,,,,,,,37.0,White
24709,27189,2018-05-28,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,13.0,Oregon,261,1860.0,9.79,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,37.0,White
24710,27266,2018-05-28,Off-White,nike-air-max-90-off-white,2017-09-09,10.5,Ohio,261,770.0,4.81,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,37.0,White
24765,27402,2018-05-29,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,12.0,Virginia,262,1911.0,10.06,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,37.0,White
24766,27534,2018-05-29,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,12.5,California,87,1411.0,7.43,air-jordan-1-retro-high,,1.0,,,,,,,,,,12.0,White
24767,27535,2018-05-29,Off-White,nike-air-presto-off-white,2017-09-09,9.0,New York,262,1660.0,10.38,air-presto,1.0,1.0,,,,,,,,,,37.0,Black
24961,27873,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.5,Illinois,263,1877.0,9.88,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
24962,27874,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.0,California,263,1835.0,9.66,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
24963,27875,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,Minnesota,263,2460.0,12.95,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
24964,27876,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.0,Missouri,263,2261.0,11.9,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
24965,28070,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,9.5,Arizona,88,1760.0,9.26,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
24966,28071,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,14.0,Virginia,88,1495.0,7.87,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
24967,28072,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,15.0,New York,88,1410.0,7.42,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
24968,28073,2018-05-30,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,14.0,California,88,1310.0,6.89,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
24969,28074,2018-05-30,Off-White,nike-air-force-1-low-off-white,2017-11-01,7.5,California,210,1030.0,6.06,air-force-1,,1.0,,,,,,,,,,30.0,White
24970,28075,2018-05-30,Off-White,nike-air-max-90-off-white,2017-09-09,11.5,Illinois,263,730.0,4.56,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,38.0,White
25056,28211,2018-05-31,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,Illinois,264,1900.0,10.0,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
25057,28212,2018-05-31,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,Arizona,264,1960.0,10.32,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
25058,28213,2018-05-31,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,New York,264,2125.0,11.18,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
25059,28326,2018-05-31,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,10.0,Florida,89,1679.0,8.84,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
25109,28406,2018-06-01,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,Arizona,265,2099.0,11.05,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
25110,28454,2018-06-01,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,8.0,Oregon,90,1641.0,8.64,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
25119,28463,2018-06-01,Off-White,nike-blazer-mid-off-white,2017-09-09,11.0,California,265,800.0,6.15,blazer-mid,,1.0,,,,,,,,,,38.0,White
25145,28515,2018-06-02,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,Massachusetts,266,2310.0,12.16,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
25146,28553,2018-06-02,Off-White,nike-air-force-1-low-off-white,2017-11-01,6.0,California,213,1130.0,6.65,air-force-1,,1.0,,,,,,,,,,30.0,White
25148,28555,2018-06-02,Off-White,nike-air-presto-off-white,2017-09-09,11.0,Kansas,266,1390.0,8.69,air-presto,1.0,1.0,,,,,,,,,,38.0,Black
25182,28643,2018-06-03,Off-White,nike-air-presto-off-white,2017-09-09,12.0,Florida,267,1320.0,8.25,air-presto,1.0,1.0,,,,,,,,,,38.0,Black
25192,28653,2018-06-03,Off-White,nike-blazer-mid-off-white,2017-09-09,8.5,New Hampshire,267,845.0,6.5,blazer-mid,,1.0,,,,,,,,,,38.0,White
25224,28709,2018-06-04,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.5,Tennessee,268,2060.0,10.84,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,38.0,White
25225,28759,2018-06-04,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,8.5,Oregon,93,1810.0,9.53,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
25226,28760,2018-06-04,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,10.5,New York,93,1809.0,9.52,air-jordan-1-retro-high,,1.0,,,,,,,,,,13.0,White
25228,28762,2018-06-04,Off-White,nike-air-presto-off-white,2017-09-09,8.0,California,268,1450.0,9.06,air-presto,1.0,1.0,,,,,,,,,,38.0,Black
25238,28772,2018-06-04,Off-White,nike-blazer-mid-off-white,2017-09-09,10.5,Colorado,268,830.0,6.38,blazer-mid,,1.0,,,,,,,,,,38.0,White
25305,28919,2018-06-06,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,District of Columbia,270,1910.0,10.05,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25307,28968,2018-06-06,Off-White,nike-air-max-90-off-white,2017-09-09,11.0,California,270,777.0,4.86,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,39.0,White
25315,28976,2018-06-06,Off-White,nike-blazer-mid-off-white,2017-09-09,6.5,California,270,1020.0,7.85,blazer-mid,,1.0,,,,,,,,,,39.0,White
25342,29023,2018-06-07,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,12.0,Virginia,271,1980.0,10.42,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25343,29024,2018-06-07,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,California,271,2000.0,10.53,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25347,29062,2018-06-07,Off-White,nike-air-presto-off-white,2017-09-09,11.0,California,271,1431.0,8.94,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
25348,29063,2018-06-07,Off-White,nike-air-presto-off-white,2017-09-09,5.0,California,271,1340.0,8.38,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
25384,29119,2018-06-08,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,New York,272,2010.0,10.58,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,39.0,White
25385,29158,2018-06-08,Off-White,air-jordan-1-retro-high-off-white-white,2018-03-03,10.0,New York,97,1521.0,8.01,air-jordan-1-retro-high,,1.0,,,,,,,,,,14.0,White
25387,29160,2018-06-08,Off-White,nike-air-presto-off-white,2017-09-09,8.0,California,272,1450.0,9.06,air-presto,1.0,1.0,,,,,,,,,,39.0,Black
